Scott Schebler,0.309175322,0.329834856,0.006613846,0.406947623,0.161374139,0.278655708,0.853039076,0.478584392,6,0,5.815173602
Jose Peraza,0.248077293,0.209999365,0.035297594,0.277459388,0.063476368,0.2846272,0.550576358,0.286188109,7,5,3.371971086
Cesar Hernandez,0.333120045,0.108750803,0.104800658,0.264681539,0.214536513,0.338520801,0.804730296,0.46003105,1,2,9.737132043
Freddy Galvis,0.307035687,0.098156147,0.061053374,0.248645954,0.17889173,0.311740316,0.755251468,0.422278184,2,6,8.48128156
Tommy Joseph,0.387934532,0.20119199,0.194808461,0.207451085,0.381671182,0.361885267,0.914781701,0.583849428,4,0,8.343068844
Maikel Franco,0.331038719,0.080956527,0.15148762,0.177768,0.270294432,0.337454299,0.815754353,0.475229039,5,22,6.58830089
Odubel Herrera,0.339467093,0.227300191,0.025806543,0.338517641,0.242,0.313717153,0.830034876,0.515274949,6,12,5.937539242
Cameron Rupp,0.410496562,0.210258494,0.277875404,0.359413669,0.249565752,0.460657472,0.938550825,0.525448322,7,3,6.320200496
Dee Gordon,0.359248942,0.143911897,0.074147234,0.379416785,0.108798626,0.394457689,0.863592997,0.458958138,1,3,10.09177469
Giancarlo Stanton,0.39774357,0.292769862,0.089045039,0.308002576,0.371376473,0.356898015,0.94584151,0.62800997,2,14,10.1499333
Christian Yelich,0.384606455,0.207339678,0.155490181,0.380454384,0.175871633,0.421585681,0.900970962,0.500738661,3,0,9.010226117
Marcell Ozuna,0.416963292,0.26459032,0.069269635,0.351526747,0.362199789,0.366872975,0.975008461,0.657224809,4,0,8.744416023
Justin Bour,0.410776636,0.224395345,0.143746069,0.326115508,0.351432108,0.39864873,0.951294565,0.620233065,5,2,7.899611471
J.T. Realmuto,0.334730354,0.187418735,0.053168155,0.325792897,0.17139855,0.334959516,0.813808405,0.47868786,6,0,5.784740857
Derek Dietrich,0.321851484,0.200927939,0.064544567,0.28058258,0.212160415,0.330815648,0.82263908,0.452587567,7,3,4.937067525
JT Riddle,0.315390105,0.206271657,0.085052584,0.313463667,0.186728828,0.326520403,0.823288805,0.457898279,8,5,4.163015531
Matt Carpenter,0.39499419,0.177985784,0.251820943,0.367037891,0.094213963,0.485194736,0.894969609,0.425913552,1,20,10.63555162
Tommy Pham,0.412731312,0.285187967,0.140141221,0.520620957,0.131739908,0.471701157,0.926239666,0.499044757,2,10,10.19759027
Dexter Fowler,0.372494082,0.211870253,0.182705028,0.348596637,0.106138107,0.43168769,0.863409871,0.440649729,3,3,8.714706466
Jedd Gyorko,0.395200387,0.266797612,0.14286503,0.479722657,0.143564823,0.443062946,0.910090055,0.502044781,4,10,8.406054926
Yadier Molina,0.31474493,0.174337137,0.063146248,0.405417822,0.085892016,0.366152082,0.777856214,0.391947566,5,7,6.353449914
Kolten Wong,0.370444206,0.12403101,0.131770704,0.442761269,0.061774809,0.479939468,0.866935302,0.400617068,7,7,5.487530023
Michael Conforto,0.430540057,0.210426039,0.21785523,0.348028551,0.309215686,0.454315789,0.99297928,0.599622166,1,8,11.43398401
Asdrubal Cabrera,0.3375897,0.128720413,0.161445311,0.24828039,0.195611459,0.365255379,0.797660623,0.430719557,2,2,8.979552502
Yoenis Cespedes,0.300052186,0.19160218,0.041582907,0.357900059,0.097984323,0.324996795,0.713186842,0.388,3,3,7.576166346
Jay Bruce,0.421411221,0.202856858,0.149040866,0.323470695,0.334301458,0.402840816,0.975955893,0.62509798,4,0,8.787356432
T.J. Rivera,0.322195806,0.131820218,0.020958537,0.404920938,0.095993946,0.349959808,0.776264087,0.420226688,5,0,6.308122743
Lucas Duda,0.41633361,0.201911514,0.213904712,0.300889042,0.331173542,0.421468338,0.968789489,0.596674058,6,0,7.197433785
Jose Reyes,0.303523746,0.111981808,0.106851587,0.24828039,0.180530504,0.314444628,0.745350951,0.415445026,7,0,4.495848833
Jose Bautista,0.288092072,0.224941653,0.11732669,0.199598947,0.1490298,0.309034937,0.791910355,0.357162943,1,16,9.284447696
Russell Martin,0.331814272,0.177879928,0.126006854,0.183109208,0.232451345,0.334803717,0.848469886,0.439569314,2,4,9.008638756
Josh Donaldson,0.429525723,0.147997005,0.174361624,0.330592179,0.279364882,0.45198827,0.958833687,0.583916518,3,3,9.545944466
Justin Smoak,0.506371317,0.094571703,0.078568102,0.4045709,0.380694059,0.467111545,1.024192487,0.759755743,4,14,9.496299272
Kendrys Morales,0.441986879,0.185642115,0.043888101,0.393456964,0.348970726,0.388064849,0.976958743,0.691037071,5,8,8.066057307
Troy Tulowitzki,0.215371279,0.135335793,0.036469235,0.158326041,0.1490298,0.19543128,0.702768433,0.34441916,6,14,4.359376855
Steve Pearce,0.418046463,0.182188278,0.05434601,0.259158198,0.435175033,0.351240207,0.963764443,0.687568477,7,10,6.231897898
Kevin Pillar,0.4554144,0.123596419,0.060359753,0.377270038,0.37694396,0.407412688,0.990028866,0.710692579,8,6,5.803699588
Darwin Barney,0.304578159,0.190834839,0.081627452,0.3255059,0.025123021,0.334803717,0.814234139,0.368490003,9,2,2.988272279
Mookie Betts,0.35648457,0.072291841,0.082333121,0.269311752,0.246040838,0.345606162,0.874056166,0.531414674,1,8,10.12760242
Andrew Benintendi,0.243635038,0.178795145,0.030480681,0.240454349,0.062665639,0.240371046,0.548443999,0.315182072,2,2,7.250715211
Dustin Pedroia,0.413072059,0.07990207,0.171605745,0.402938378,0.118767527,0.494608601,0.994313155,0.506434889,3,21,9.434804293
Hanley Ramirez,0.370363841,0.201266423,0.132875815,0.240432829,0.333450684,0.367044909,0.934384224,0.57302925,4,21,8.261187228
Chris Young,0.26066648,0.115632983,0.084513224,0.253376783,0.040944472,0.297217906,0.590102443,0.283869431,5,16,5.099026668
Jackie Bradley Jr.,0.388357573,0.18171696,0.023431399,0.333467604,0.33223152,0.327948479,1.057133529,0.632836988,6,8,7.015176828
Sandy Leon,0.297144596,0.181053816,0.057225884,0.284254743,0.160320311,0.29240457,0.71022134,0.416214438,7,6,4.325063047
