id,ab,hits,singles,doubles,triples,homeruns,average,stolenbases,caughtstealing,runs,rbi,walks,errors,hbp,strikeouts,batterID,bgameID,dkpoints
774,4,3,3,0,0,0,0.7500,0,0,2,0,0,0,0,1,2233,31,13.000
1606,4,2,1,0,0,1,0.6250,1,0,1,2,0,0,0,0,2233,36,24.000
1862,3,2,1,1,0,0,0.6360,0,0,0,0,1,0,0,0,2233,41,10.000
2805,4,0,0,0,0,0,0.4670,0,0,0,0,0,2,0,2,2233,45,0.000
3240,2,0,0,0,0,0,0.4120,0,0,1,0,2,0,0,1,2233,46,6.000
3562,4,0,0,0,0,0,0.3330,0,0,1,0,1,0,0,1,2233,47,4.000
4262,3,2,1,0,0,1,0.3750,0,0,2,1,1,0,0,1,2233,49,21.000
5209,4,2,2,0,0,0,0.3930,0,0,2,0,0,0,0,0,2233,51,10.000
5559,4,1,1,0,0,0,0.3750,0,0,0,0,0,0,0,1,2233,54,3.000
5959,3,2,1,1,0,0,0.4000,1,0,0,0,1,0,0,1,2233,55,15.000
6511,2,2,2,0,0,0,0.4100,0,0,2,0,2,0,0,0,2233,57,14.000
6759,4,1,0,1,0,0,0.3950,0,0,1,1,0,0,0,0,2233,58,9.000
