playerName,mlbID,bgameID,team,batterID,dkPoints,dkPointsPred
"Aaron Judge",592450,31,NULL,2234,7,NULL
"Aaron Judge",592450,36,NULL,2234,5,NULL
"Aaron Judge",592450,41,NULL,2234,0,NULL
"Aaron Judge",592450,45,NULL,2234,2,NULL
"Aaron Judge",592450,46,NULL,2234,0,NULL
"Aaron Judge",592450,47,NULL,2234,23,NULL
"Aaron Judge",592450,49,NULL,2234,17,NULL
"Aaron Judge",592450,51,NULL,2234,25,NULL
"Aaron Judge",592450,54,NULL,2234,2,NULL
"Aaron Judge",592450,55,NULL,2234,0,NULL
"Aaron Judge",592450,57,NULL,2234,16,NULL
"Aaron Judge",592450,58,NULL,2234,21,NULL
"Aaron Judge",592450,59,NULL,2234,0,NULL
"Aaron Judge",592450,61,NULL,2234,21,NULL
"Aaron Judge",592450,63,NULL,2234,5,NULL
"Aaron Judge",592450,65,NULL,2234,21,NULL
"Aaron Judge",592450,66,NULL,2234,3,NULL
"Aaron Judge",592450,69,NULL,2234,20,NULL
"Aaron Judge",592450,70,NULL,2234,2,NULL
"Aaron Judge",592450,72,NULL,2234,32,NULL
"Aaron Judge",592450,71,NULL,2234,34,NULL
"Aaron Judge",592450,73,NULL,2234,11,NULL
"Aaron Judge",592450,75,NULL,2234,5,NULL
"Aaron Judge",592450,79,NULL,2234,8,NULL
"Aaron Judge",592450,81,NULL,2234,0,NULL
"Aaron Judge",592450,82,NULL,2234,10,NULL
"Aaron Judge",592450,84,NULL,2234,5,NULL
"Aaron Judge",592450,86,NULL,2234,7,NULL
"Aaron Judge",592450,87,NULL,2234,8,NULL
"Aaron Judge",592450,89,NULL,2234,18,NULL
"Aaron Judge",592450,89,NULL,2234,18,NULL
"Aaron Judge",592450,91,NULL,2234,11,NULL
"Aaron Judge",592450,92,NULL,2234,11,NULL
"Aaron Judge",592450,93,NULL,2234,6,NULL
"Aaron Judge",592450,94,NULL,2234,8,NULL
"Aaron Judge",592450,95,NULL,2234,25,NULL
"Aaron Judge",592450,96,NULL,2234,0,NULL
"Aaron Judge",592450,97,NULL,2234,4,NULL
"Aaron Judge",592450,98,NULL,2234,5,NULL
"Aaron Judge",592450,99,NULL,2234,5,NULL
"Aaron Judge",592450,101,NULL,2234,8,NULL
"Aaron Judge",592450,102,NULL,2234,0,NULL
"Aaron Judge",592450,103,NULL,2234,23,NULL
"Aaron Judge",592450,104,NULL,2234,14,NULL
"Aaron Judge",592450,105,NULL,2234,16,NULL
"Aaron Judge",592450,106,NULL,2234,12,NULL
"Aaron Judge",592450,107,NULL,2234,9,NULL
"Aaron Judge",592450,108,NULL,2234,22,NULL
"Aaron Judge",592450,109,NULL,2234,9,NULL
"Aaron Judge",592450,110,NULL,2234,10,NULL
"Aaron Judge",592450,112,NULL,2234,10,NULL
"Aaron Judge",592450,113,NULL,2234,2,NULL
"Aaron Judge",592450,114,NULL,2234,15,NULL
"Aaron Judge",592450,115,NULL,2234,4,NULL
"Aaron Judge",592450,116,NULL,2234,32,NULL
"Aaron Judge",592450,117,NULL,2234,44,NULL
"Aaron Judge",592450,118,NULL,2234,25,NULL
"Aaron Judge",592450,120,NULL,2234,10,NULL
"Aaron Judge",592450,121,NULL,2234,5,NULL
"Aaron Judge",592450,122,NULL,2234,32,NULL
"Aaron Judge",592450,123,NULL,2234,2,NULL
"Aaron Judge",592450,124,NULL,2234,7,NULL
"Aaron Judge",592450,126,NULL,2234,14,NULL
"Aaron Judge",592450,127,NULL,2234,3,NULL
"Aaron Judge",592450,128,NULL,2234,22,NULL
"Aaron Judge",592450,129,NULL,2234,3,NULL
"Aaron Judge",592450,130,NULL,2234,14,NULL
"Aaron Judge",592450,131,NULL,2234,16,NULL
"Aaron Judge",592450,132,NULL,2234,8,NULL
"Aaron Judge",592450,133,NULL,2234,14,NULL
"Aaron Judge",592450,134,NULL,2234,22,NULL
"Aaron Judge",592450,135,NULL,2234,6,NULL
"Aaron Judge",592450,136,NULL,2234,4,NULL
"Aaron Judge",592450,137,NULL,2234,0,NULL
"Aaron Judge",592450,138,NULL,2234,8,NULL
"Aaron Judge",592450,139,NULL,2234,10,NULL
"Aaron Judge",592450,140,NULL,2234,14,NULL
"Aaron Judge",592450,141,NULL,2234,21,NULL
"Aaron Judge",592450,143,NULL,2234,16,NULL
"Aaron Judge",592450,144,NULL,2234,5,NULL
"Aaron Judge",592450,145,NULL,2234,5,NULL
"Aaron Judge",592450,146,NULL,2234,2,NULL
"Aaron Judge",592450,147,NULL,2234,4,NULL
"Aaron Judge",592450,148,NULL,2234,3,NULL
"Aaron Judge",592450,148,NULL,2234,3,NULL
"Aaron Judge",592450,149,NULL,2234,2,NULL
"Aaron Judge",592450,150,Yankees,2234,14,10.716
"Aaron Judge",592450,153,Yankees,2234,7,9.117
"Aaron Judge",592450,154,Yankees,2234,22,12.225
"Aaron Judge",592450,155,Yankees,2234,16,9.712
"Aaron Judge",592450,156,Yankees,2234,4,10.019
