id,ab,hits,singles,doubles,triples,homeruns,average,stolenbases,caughtstealing,runs,rbi,walks,errors,hbp,strikeouts,batterID,bgameID,dkpoints
1430,3,1,1,0,0,0,0.3330,0,0,1,0,1,0,0,0,3546,35,7.000
1631,3,1,1,0,0,0,0.3330,0,0,1,0,1,0,0,0,3546,36,7.000
1948,5,3,3,0,0,0,0.4550,0,0,1,0,0,0,0,0,3546,41,11.000
2310,4,0,0,0,0,0,0.3330,0,0,0,0,0,0,0,1,3546,42,0.000
2845,4,2,0,1,0,1,0.3680,0,0,1,2,0,0,0,2,3546,45,21.000
3394,4,1,1,0,0,0,0.3480,0,0,0,1,0,0,0,1,3546,46,5.000
3630,3,1,1,0,0,0,0.3460,0,0,1,0,2,0,0,0,3546,47,9.000
4744,5,0,0,0,0,0,0.2900,0,0,0,0,0,0,0,2,3546,50,0.000
5143,4,2,0,2,0,0,0.3140,0,0,0,0,0,0,0,1,3546,51,10.000
5711,3,1,1,0,0,0,0.3160,0,0,0,0,0,0,0,2,3546,54,3.000
5836,3,0,0,0,0,0,0.2930,0,0,0,0,1,0,0,0,3546,55,2.000
6524,3,0,0,0,0,0,0.2550,0,0,0,0,0,0,0,1,3546,57,0.000
6638,3,0,0,0,0,0,0.2400,0,0,0,0,0,0,1,1,3546,58,2.000
