"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2017","Bartolo Colon","375","ATL","10","15","15","0","0","0","0","0","1","0","0","0","8","0","0","0","1","0","0","0.000000000","0.000000000","0.533333333","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","-2.23372644822408","-4.06372646878769","0","-100","2.000000000","0.250000000","0.500000000","0.250000000","0.000000000","0.000000000","0.000000000","0.000000000","0.4286","0.1429","0.4286","0.5714","0.4286","0.0000"
"2017","Victor Martinez","393","DET","80","329","295","77","57","12","0","8","32","42","29","3","44","3","2","0","12","0","0","0.261016949","0.088145896","0.133738601","0.659090909","0.261016949","0.331306990","0.383050847","0.714357837","0.122033898","0.281632653","36.865939663263","-3.27206078776531","0.309023224685821","90.4034898834396","1.305882352","0.222222222","0.440476190","0.337301587","0.070588235","0.094117647","0.018018018","1.000000000","0.4229","0.2885","0.2885","0.1344","0.4704","0.3953"
"2017","CC Sabathia","404","NYY","2","4","3","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0.000000000","0.250000000","0.500000000","0.500000000","0.000000000","0.250000000","0.000000000","0.250000000","0.000000000","0.000000000","-0.0105739748367977","-0.498573980320425","0.173205301165581","-2.80091700282477","0.000000000","0.000000000","0.000000000","1.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000"
"2017","Carlos Beltran","589","HOU","82","344","314","72","41","19","0","12","44","39","24","1","74","2","4","0","3","0","0","0.229299363","0.069767441","0.215116279","0.324324324","0.229299363","0.284883720","0.404458598","0.689342318","0.175159235","0.258620689","33.8543251990796","-8.11367527251234","0.292870687847582","82.3986312931464","1.029702970","0.159836065","0.426229508","0.413934426","0.089108910","0.118811881","0.134615384","0.000000000","0.5041","0.2992","0.1967","0.1721","0.4877","0.3402"
"2017","Adrian Beltre","639","TEX","45","191","166","47","27","11","1","8","23","31","21","2","21","2","2","0","2","1","0","0.283132530","0.109947643","0.109947643","1.000000000","0.283132530","0.366492146","0.506024096","0.872516242","0.222891566","0.280575539","30.6134205984147","7.31142033657154","0.366128318208866","126.327278481836","1.283018867","0.176870748","0.462585034","0.360544217","0.132075471","0.150943396","0.044117647","0.000000000","0.4354","0.3605","0.2041","0.1973","0.4354","0.3673"
"2017","Todd Frazier","785","2 Tms","86","353","296","60","29","15","0","16","43","44","49","1","75","5","3","0","6","4","3","0.202702702","0.138810198","0.212464589","0.653333333","0.202702702","0.322946175","0.415540540","0.738486715","0.212837838","0.211538461","42.6428352253319","-0.423165258598268","0.31935861622068","97.4556211895677","0.723809523","0.191964285","0.339285714","0.468750000","0.180952380","0.152380952","0.065789473","0.000000000","0.4955","0.2902","0.2143","0.2366","0.4464","0.3170"
"2017","Brandon Phillips","791","ATL","87","355","332","97","63","25","1","8","47","36","15","1","43","7","0","1","11","7","4","0.292168674","0.042253521","0.121126760","0.348837209","0.292168674","0.336158192","0.445783132","0.781941324","0.153614458","0.316725978","47.4675279194672","4.15752743279529","0.334667817897905","103.398021533399","1.674698795","0.231833910","0.480968858","0.287197231","0.108433734","0.096385542","0.028776978","0.000000000","0.3034","0.3552","0.3414","0.2000","0.5379","0.2621"
"2017","Bronson Arroyo","978","CIN","15","29","26","4","4","0","0","0","0","0","0","0","10","0","0","3","0","0","0","0.153846153","0.000000000","0.344827586","0.000000000","0.153846153","0.153846153","0.153846153","0.307692306","0.000000000","0.250000000","-1.01661388488195","-4.55461392463825","0.134824936206524","-28.2468479467715","0.666666666","0.333333333","0.266666666","0.400000000","0.166666666","0.000000000","0.000000000","0.000000000","0.2632","0.4737","0.2632","0.3684","0.5789","0.0526"
"2017","Ichiro Suzuki","1101","MIA","83","128","119","27","23","2","0","2","12","9","7","0","25","1","0","1","1","0","1","0.226890756","0.054687500","0.195312500","0.280000000","0.226890756","0.275590551","0.294117647","0.569708198","0.067226891","0.271739130","8.30240401418054","-7.31359616129554","0.253141537426025","51.4156022129831","3.105263157","0.161290322","0.634408602","0.204301075","0.105263157","0.105263157","0.084745762","0.000000000","0.3895","0.2842","0.3263","0.2632","0.5579","0.1789"
"2017","Marco Estrada","1118","TOR","1","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0.000000000","0.000000000","1.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","-0.297830193096544","-0.541830195838358","0","-100","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","","","","","",""
