"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2017","Bartolo Colon","375","2 Tms","11","17","16","0","0","0","0","0","1","0","0","0","9","0","0","1","1","0","0","0.000000000","0.000000000","0.529411764","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","-2.53155664132063","-4.60555666462604","0","-100","2.000000000","0.250000000","0.500000000","0.250000000","0.000000000","0.000000000","0.000000000","0.000000000","0.3750","0.2500","0.3750","0.6250","0.3750","0.0000"
"2017","Victor Martinez","393","DET","82","338","302","79","58","13","0","8","32","42","31","3","45","3","2","0","12","0","0","0.261589403","0.091715976","0.133136094","0.688888888","0.261589403","0.334319526","0.384105960","0.718425486","0.122516557","0.282868525","38.4814370494589","-2.75456341390759","0.311149785945665","91.8673663136192","1.272727272","0.224806201","0.434108527","0.341085271","0.068181818","0.090909090","0.017857142","1.000000000","0.4208","0.2973","0.2819","0.1313","0.4672","0.4015"
"2017","CC Sabathia","404","NYY","2","4","3","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0.000000000","0.250000000","0.500000000","0.500000000","0.000000000","0.250000000","0.000000000","0.250000000","0.000000000","0.000000000","-0.0105739748367977","-0.498573980320425","0.173205301165581","-2.80091700282477","0.000000000","0.000000000","0.000000000","1.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.0000","0.0000","1.0000","1.0000","0.0000","0.0000"
"2017","Carlos Beltran","589","HOU","83","347","317","73","42","19","0","12","44","41","24","1","74","2","4","0","4","0","0","0.230283911","0.069164265","0.213256484","0.324324324","0.230283911","0.285302593","0.403785488","0.689088081","0.173501577","0.259574468","34.1476608125529","-8.18633966315172","0.292864185020414","82.3941548947461","1.059405940","0.157894736","0.433198380","0.408906882","0.089108910","0.118811881","0.130841121","0.000000000","0.4980","0.3077","0.1943","0.1741","0.4899","0.3360"
"2017","Adrian Beltre","639","TEX","47","200","173","51","31","11","1","8","23","32","22","2","21","2","3","0","3","1","0","0.294797687","0.110000000","0.105000000","1.047619047","0.294797687","0.375000000","0.508670520","0.883670520","0.213872833","0.292517006","32.8263205472973","8.42632027311593","0.370689503472261","129.467094732066","1.303571428","0.167741935","0.470967741","0.361290322","0.142857142","0.142857142","0.041095890","0.000000000","0.4258","0.3677","0.2065","0.1935","0.4387","0.3677"
"2017","Todd Frazier","785","2 Tms","87","356","298","61","30","15","0","16","43","44","50","1","75","5","3","0","6","4","3","0.204697986","0.140449438","0.210674157","0.666666666","0.204697986","0.325842696","0.416107382","0.741950078","0.211409396","0.214285714","43.5212627417887","0.0892622537458878","0.321080045632913","98.6402524128169","0.742857142","0.190265486","0.345132743","0.464601769","0.180952380","0.152380952","0.064102564","0.000000000","0.4956","0.2920","0.2124","0.2345","0.4469","0.3186"
"2017","Brandon Phillips","791","ATL","89","362","339","97","63","25","1","8","48","36","15","1","43","7","0","1","11","7","4","0.286135693","0.041436464","0.118784530","0.348837209","0.286135693","0.329639889","0.436578171","0.766218060","0.150442478","0.309027777","46.4141312152982","2.25013071902992","0.328160388105445","99.1682199333506","1.662790697","0.226351351","0.483108108","0.290540540","0.104651162","0.093023255","0.027972027","0.000000000","0.2997","0.3569","0.3434","0.1987","0.5421","0.2593"
"2017","Bronson Arroyo","978","CIN","15","29","26","4","4","0","0","0","0","0","0","0","10","0","0","3","0","0","0","0.153846153","0.000000000","0.344827586","0.000000000","0.153846153","0.153846153","0.153846153","0.307692306","0.000000000","0.250000000","-1.01661388488195","-4.55461392463825","0.134824936206524","-28.2468479467715","0.666666666","0.333333333","0.266666666","0.400000000","0.166666666","0.000000000","0.000000000","0.000000000","0.2632","0.4737","0.2632","0.3684","0.5789","0.0526"
"2017","Ichiro Suzuki","1101","MIA","84","131","121","27","23","2","0","2","12","9","8","0","26","1","0","1","1","0","1","0.223140495","0.061068702","0.198473282","0.307692307","0.223140495","0.276923076","0.289256198","0.566179274","0.066115703","0.268817204","8.44031247071993","-7.54168770886886","0.252629203521288","51.0825873608637","2.950000000","0.159574468","0.627659574","0.212765957","0.100000000","0.100000000","0.084745762","0.000000000","0.3854","0.2917","0.3229","0.2604","0.5521","0.1875"
"2017","Marco Estrada","1118","TOR","1","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0.000000000","0.000000000","1.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","-0.297830193096544","-0.541830195838358","0","-100","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","","","","","",""
